State,Region,High Hazard Dams,Significant Hazard Dams,High/Signficant Hazard Dams Total,Low Hazard Dams,Undetermined,Total,Percent High/Signficant Hazard Dams Total
Total,,"15,498","11,882","27,380","60,705","2,495","90,580",30.23%
NC,South,"1,448",599,"2,047","1,397",0,"3,444",59.44%
TX,South,"1,237",712,"1,949","5,443",3,"7,395",26.36%
MO,Midwest,"1,457",182,"1,639","3,716",1,"5,356",30.60%
PA,Northeast,809,325,"1,134",377,14,"1,525",74.36%
CA,West,833,297,"1,130",411,44,"1,585",71.29%
NY,Northeast,422,627,"1,049",895,7,"1,951",53.77%
VA,South,468,551,"1,019","1,288",612,"2,919",34.91%
MA,Northeast,333,665,998,454,0,"1,452",68.73%
OH,Midwest,414,555,969,526,0,"1,495",64.82%
CO,West,425,331,756,979,2,"1,737",43.52%
SC,South,209,480,689,"1,752",3,"2,444",28.19%
CT,Northeast,443,241,684,60,2,746,91.69%
AL,South,226,450,676,"1,595",0,"2,271",29.77%
OK,South,431,208,639,"4,200",52,"4,891",13.06%
GA,South,596,41,637,"4,587",196,"5,420",11.75%
TN,South,274,358,632,605,0,"1,237",51.09%
UT,West,242,322,564,265,4,833,67.71%
FL,South,76,488,564,493,146,"1,203",46.88%
NJ,Northeast,225,335,560,264,1,825,67.88%
IL,Midwest,231,319,550,"1,016",41,"1,607",34.23%
IN,Midwest,263,270,533,383,0,916,58.19%
WV,South,436,93,529,31,54,614,86.16%
KY,South,275,187,462,645,0,"1,107",41.73%
KS,Midwest,276,181,457,"5,864",82,"6,403",7.14%
WA,West,243,202,445,339,0,784,56.76%
AR,Midwest,191,227,418,819,20,"1,257",33.25%
MS,South,298,74,372,"3,765",977,"5,114",7.27%
MT,West,195,168,363,"2,597",0,"2,960",12.26%
NE,Midwest,143,211,354,"2,422",194,"2,970",11.92%
IA,Midwest,102,236,338,"3,638",0,"3,976",8.50%
NM,West,256,72,328,163,1,492,66.67%
MI,Midwest,170,154,324,675,6,"1,005",32.24%
OR,West,156,160,316,553,0,869,36.36%
WI,Midwest,224,85,309,797,0,"1,106",27.94%
NH,Northeast,137,163,300,345,0,645,46.51%
ID,West,114,150,264,205,4,473,55.81%
NV,West,154,110,264,283,0,547,48.26%
SD,Midwest,91,155,246,"2,319",0,"2,565",9.59%
AZ,West,171,44,215,168,1,384,55.99%
MN,Midwest,55,144,199,898,0,"1,097",18.14%
WY,West,97,102,199,"1,418",0,"1,617",12.31%
MD,South,79,116,195,151,0,346,56.36%
VT,Northeast,58,129,187,170,0,357,52.38%
RI,Northeast,96,80,176,51,0,227,77.53%
ME,Northeast,69,87,156,440,1,597,26.13%
ND,Midwest,49,84,133,740,25,898,14.81%
HI,West,124,3,127,6,0,133,95.49%
LA,South,48,63,111,444,2,557,19.93%
DE,South,63,6,69,14,0,83,83.13%
AK,West,28,40,68,39,0,107,63.55%
PR,,38,0,38,0,0,38,100.00%
